--	O
nicholas	O
shaxson	O
,	O
london	O
newsroom	O
+44	O
171	O
542	O
8167	O

the	O
director	O
of	O
the	O
sec	S-ORG
's	O
division	O
of	O
market	O
regulation	O
,	O
richard	O
lindsey	O
,	O
said	O
wall	O
street	O
firms	O
will	O
probably	O
need	O
to	O
spend	O
about	O
$	O
7	O
million	O
to	O
carry	O
out	O
the	O
improvements	O
called	O
for	O
by	O
the	O
new	O
rules	O
.	O

out	O
of	O
these	O
17	O
were	O
former	O
soldiers	O
.	O

one	O
teen	O
left	O
dead	O
by	O
attack	O
on	O
u.s.	O
slumber	O
party	O
.	O

colorado	S-ORG
67	O
63	O
.515	O
3	O
1/2	O

6.	O
david	O
coulthard	O
(	O
britain	O
)	O
18	O

london	O
1996-08-28	O

sheffield	S-ORG
21	O
10	O
0	O
11	O
574	O
696	O
20	O

two	O
civilians	O
were	O
killed	O
in	O
the	O
iraqi	O
bombing	O
,	O
"	O
irna	S-ORG
quoted	O
the	O
radio	O
report	O
as	O
saying	O
.	O

westlake	O
,	O
arrested	O
in	O
december	O
1993	O
and	O
charged	O
with	O
heroin	O
trafficking	O
,	O
sawed	O
the	O
iron	O
grill	O
off	O
his	O
cell	O
window	O
and	O
climbed	O
down	O
the	O
prison	O
's	O
five-metre	O
(	O
15-foot	O
)	O
wall	O
on	O
a	O
rope	O
made	O
from	O
bed	O
sheets	O
,	O
vivit	O
said	O
.	O

cairo	O
1996-08-25	O

s.african	O
truth	O
body	O
to	O
summon	O
apartheid	O
police	O
.	O

sierra	B-ORG
semiconductor	E-ORG
jumps	O
on	O
exit	O
plan	O
.	O

in	O
an	O
interview	O
following	O
its	O
first-half	O
results	O
,	O
which	O
included	O
a	O
less	O
optimistic	O
forecast	O
for	O
the	O
second	O
half	O
of	O
this	O
year	O
than	O
it	O
had	O
made	O
in	O
the	O
past	O
,	O
sir	O
colin	O
hope	O
said	O
t&n	S-ORG
had	O
taken	O
defensive	O
action	O
to	O
protect	O
it	O
from	O
patchy	O
markets	O
.	O

-docstart-	O

dallas	O
1996-08-26	O

tokyo	O
1996-08-26	O

after	O
breaking	O
the	O
world	O
record	O
for	O
the	O
women	O
's	O
mile	O
in	O
zurich	O
last	O
wednesday	O
,	O
the	O
olympic	O
800	O
and	O
1,500	O
metres	O
champion	O
clocked	O
two	O
minutes	O
28.98	O
seconds	O
over	O
1,000	O
at	O
the	O
brussels	O
grand	O
prix	O
meeting	O
.	O

fuel	O
oil	O
markets	O
were	O
also	O
listless	O
.	O

glasgow	O
1996-08-24	O

"	O
it	O
was	O
one	O
of	O
these	O
games	O
where	O
you	O
get	O
three	O
straight	O
pinch-hits	O
and	O
a	O
walk	O
of	O
a	O
pinch-hitter	O
,	O
that	O
's	O
how	O
you	O
win	O
pennants	O
,	O
"	O
dodgers	S-ORG
manager	O
bill	O
russell	O
said	O
.	O
"	O

the	O
30-share	O
dax	O
index	O
closed	O
at	O
2,563.16	O
points	O
,	O
up	O
4.32	O
.	O

fall	O
of	O
wickets	O
:	O
1-48	O
2-92	O
3-167	O
4-230	O
5-240	O
6-242	O
7-263	O

argentine	O
striker	O
iwan	O
cesar	O
gabrich	O
signed	O
a	O
five	O
year	O
contract	O
with	O
dutch	O
champions	O
ajax	B-ORG
amsterdam	E-ORG
on	O
wednesday	O
.	O

note	O
-	O
full	O
name	O
of	O
the	O
state-owned	O
german	O
railway	O
company	O
is	O
deutsche	B-ORG
bahn	I-ORG
ag	E-ORG
.	O

the	O
reds	S-ORG
took	O
a	O
one-run	O
lead	O
in	O
the	O
second	O
inning	O
when	O
morris	O
led	O
off	O
with	O
his	O
10th	O
homer	O
off	O
starter	O
armando	O
reynoso	O
(	O
8-9	O
)	O
.	O

instead	O
an	O
undercover	O
police	O
officer	O
pretended	O
to	O
be	O
interested	O
in	O
buying	O
it	O
and	O
arrested	O
them	O
.	O

6-2	O

trinecke	B-ORG
zelezarny	E-ORG
210.00	O
210.00	O
3000	O
630.000	O

he	O
said	O
the	O
connection	O
was	O
through	O
bernard	O
weinstein	O
,	O
an	O
accomplice	O
of	O
convicted	O
child	O
rapist	O
marc	O
dutroux	O
--	O
the	O
central	O
figure	O
in	O
the	O
paedophile	O
scandal	O
that	O
has	O
sent	O
shockwaves	O
across	O
europe	O
.	O

results	O
of	O
australian	O
rules	O
matches	O
played	O
at	O
the	O
weekend	O
.	O

she	O
will	O
be	O
accompanied	O
by	O
several	O
officials	O
who	O
will	O
sign	O
a	O
cultural	O
agreement	O
with	O
south	O
africa	O
,	O
where	O
the	O
dutch	O
were	O
the	O
first	O
european	O
settlers	O
in	O
1652	O
.	O

spence	O
,	O
terry	O
price	O
(	O
australia	O
)	O
,	O
juan	O
carlos	O
pinero	O
(	O
spain	O
)	O
,	O

amsterdam	O
1996-08-29	O

guarani	S-ORG
3	O
0	O
1	O
2	O
1	O
5	O
1	O

philadelphia	S-ORG
52	O
76	O
.406	O
28	O

the	O
company	O
also	O
repaid	O
some	O
$	O
21	O
million	O
of	O
debt	O
,	O
well	O
above	O
the	O
originally	O
planned	O
$	O
8	O
million	O
to	O
$	O
9	O
million	O
.	O

-docstart-	O

the	O
following	O
is	O
the	O
result	O
of	O
central	O
bank	O
securities	O
(	O
sbpus	O
)	O
auction	O
on	O
tuesday	O
at	O
0800	O
gmt	O
:	O

-docstart-	O

trade	O
unions	O
demanded	O
payment	O
of	O
june	O
and	O
july	O
wages	O
and	O
last	O
year	O
's	O
holiday	O
pay	O
,	O
and	O
called	O
on	O
government	O
to	O
develop	O
a	O
revival	O
programme	O
for	O
the	O
plant	O
.	O

net	O
income	O
821	O
512	O
565	O
301	O

it	O
could	O
be	O
one	O
of	O
the	O
most	O
expensive	O
rounds	O
of	O
drinks	O
ever	O
.	O

vorskla	S-ORG
6	O
4	O
2	O
0	O
11	O
3	O
14	O

the	O
train	O
was	O
derailed	O
when	O
a	O
corner	O
of	O
the	O
driver	O
's	O
compartment	O
caught	O
the	O
rear	O
of	O
the	O
truck	O
,	O
the	O
spokesman	O
said	O
.	O

the	O
lanky	O
canadian	O
broke	O
muster	O
at	O
4-3	O
in	O
the	O
first	O
set	O
and	O
5-5	O
in	O
the	O
second	O
before	O
ending	O
the	O
match	O
on	O
his	O
third	O
match	O
point	O
when	O
the	O
austrian	O
hit	O
a	O
service	O
return	O
long	O
.	O

colombia	O
,	O
u.s.	O
reach	O
aviation	O
agreement	O
.	O

-docstart-	O

the	O
market	O
had	O
its	O
first	O
resistance	O
at	O
67,000	O
if	O
it	O
pierced	O
65,000	O
,	O
they	O
added	O
.	O

israeli	O
president	O
ezer	O
weizman	O
,	O
weighing	O
a	O
possible	O
meeting	O
with	O
yasser	O
arafat	O
,	O
consulted	O
on	O
sunday	O
with	O
prime	O
minister	O
benjamin	O
netanyahu	O
,	O
a	O
spokesman	O
said	O
.	O

baseball	O
-	O
major	O
league	O
standings	O
after	O
tuesday	O
's	O
games	O
.	O

-docstart-	O

seiki	O
okuda	O
(	O
japan	O
)	O
81	O
70	O
72	O
75	O

antwerp	S-ORG
1	O
lommel	S-ORG
4	O

unless	O
stated	O
)	O
:	O

but	O
raichev	O
said	O
it	O
would	O
be	O
"	O
discrimination	O
"	O
against	O
the	O
other	O
airlines	O
if	O
only	O
balkan	O
planes	O
were	O
guided	O
in	O
.	O

the	O
redmond	O
,	O
wash.-based	O
company	O
spent	O
tens	O
of	O
millions	O
of	O
dollars	O
promoting	O
the	O
product	O
with	O
stunts	O
that	O
included	O
buying	O
the	O
entire	O
print	O
run	O
of	O
the	O
times	B-ORG
of	I-ORG
london	E-ORG
and	O
lighting	O
new	O
york	O
's	O
empire	O
state	O
building	O
in	O
a	O
windows	O
color	O
scheme	O
.	O

des	O
moines	O
1996-08-29	O

jay	O
buhner	O
hit	O
a	O
three-run	O
homer	O
and	O
former	O
yankee	O
terry	O
mulholland	O
allowed	O
one	O
run	O
over	O
seven	O
innings	O
as	O
the	O
seattle	B-ORG
mariners	E-ORG
completed	O
a	O
sweep	O
of	O
new	B-ORG
york	E-ORG
with	O
a	O
10-2	O
victory	O
in	O
a	O
game	O
marred	O
by	O
a	O
bench-clearing	O
brawl	O
.	O

they	O
are	O
idiots	O
to	O
have	O
started	O
the	O
jerusalem	O
battle	O
,	O
"	O
arafat	O
said	O
in	O
arabic	O
.	O
"	O

a.	O
shah	O
c	O
m.	O
waugh	O
b	O
hogg	O
41	O

-	O
asia	O
/	O
pacific	O

australia	O
won	O
the	O
toss	O
and	O
decided	O
to	O
bat	O
against	O
zimbabwe	O
in	O
the	O
first	O
day-night	O
limited	O
overs	O
match	O
of	O
the	O
singer	O
world	O
series	O
tournament	O
on	O
monday	O
.	O

-docstart-	O

wednesday	O
,	O
august	O
28th	O
schedule	O

he	O
had	O
earlier	O
mounted	O
the	O
mosque	O
's	O
pulpit	O
to	O
demand	O
release	O
of	O
detainees	O
,	O
an	O
end	O
to	O
raids	O
on	O
houses	O
and	O
the	O
cancelling	O
of	O
the	O
bread	O
price	O
rises	O
.	O

rishon	S-ORG
-	O
moshe	O
sabag	O
(	O
10th	O
minute	O
)	O
,	O
nissan	O
kapeta	O
(	O
26th	O
)	O
,	O

lisa	O
raymond	O
(	O
u.s.	O
)	O
beat	O
lori	O
mcneil	O
(	O
u.s.	O
)	O
7-6	O
(	O
8-6	O
)	O
6-3	O

wycombe	S-ORG
3	O
0	O
2	O
1	O
2	O
3	O
2	O

put	O
those	O
two	O
things	O
together	O
and	O
you	O
get	O
a	O
loss	O
.	O
"	O

-docstart-	O

st	B-ORG
pauli	E-ORG
3	O
1	O
1	O
1	O
7	O
7	O
4	O

'	O

r.	O
kaluwitharana	O
b	O
tendulkar	O
53	O

national	O
league	O

club	O
secretary	O
bernard	O
halford	O
said	O
in	O
a	O
statement	O
:	O
"	O
the	O
chairman	O
and	O
board	S-ORG
would	O
like	O
to	O
place	O
on	O
record	O
their	O
